id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
314,,Burna Boy,80,3.10,6.59,20.16,14
315,,Dire Straits,74,4.26,6.96,17.49,14
316,,Pharrell Williams,77,3.80,4.27,30.82,14
317,,Mac DeMarco,78,4.46,4.53,16.92,14
318,,Jason Mraz,71,5.13,7.27,16.95,14
319,,Natti Natasha,71,4.59,9.39,14.97,14
320,,Los Ángeles Azules,75,4.17,7.23,16.25,14
321,,Amy Winehouse,73,4.69,8.57,15.08,14
322,,Swae Lee,80,4.27,1.82,38.65,14
323,,Rae Sremmurd,70,5.85,7.34,13.66,14
324,,Sidhu Moose Wala,77,2.94,23.35,9.95,14
325,,Alesso,73,5.31,3.98,19.59,14
326,,The Offspring,75,4.79,5.19,18.84,14
327,,Steve Lacy,80,3.64,3.60,26.93,14
328,,Phil Collins,74,4.73,5.37,20.55,14
329,,Danny Ocean,75,4.75,5.23,18.45,14
330,,Tate McRae,75,4.78,3.68,22.85,14
331,,Prince Royce,74,4.53,7.96,16.48,14
332,,Bring Me The Horizon,76,5.58,5.07,13.13,14
333,,Ricardo Arjona,74,4.84,12.23,8.54,14
334,,Kings of Leon,72,5.40,5.29,15.52,14
335,,Pearl Jam,73,4.89,8.41,13.11,14
336,,Zach Bryan,88,4.06,2.09,21.94,14
337,,The Police,74,4.12,5.63,26.26,14
338,,Calibre 50,73,4.81,10.65,11.79,14
339,,Fifth Harmony,67,4.82,16.19,10.33,14
340,,Justin Quiles,76,4.67,4.16,17.38,13
341,,Marc Anthony,74,4.38,9.27,11.35,13
342,,Mumford & Sons,70,5.62,6.55,10.47,13
343,,Backstreet Boys,73,4.76,5.36,16.98,13
344,,Vance Joy,74,5.23,2.90,22.49,13
345,,Ninho,78,4.92,8.67,6.90,13
346,,Nicki Nicole,79,3.08,4.77,22.39,13
347,,Kane Brown,73,5.30,5.13,12.39,13
348,,Hailee Steinfeld,69,5.29,8.88,12.14,13
349,,Lil Yachty,76,3.67,9.28,13.03,13
350,,Alejandro Sanz,74,4.37,7.46,13.50,13
351,,Bazzi,70,5.61,5.53,13.14,13
352,,SEVENTEEN,78,4.14,10.17,7.31,13
353,,Céline Dion,72,4.35,7.69,13.17,13
354,,Quavo,79,3.46,6.90,16.29,13
355,,Wisin,74,3.97,9.15,13.33,13
356,,Jack Johnson,74,5.96,3.70,12.65,13
357,,Vicente Fernández,75,4.06,9.55,9.44,13
358,,Jubin Nautiyal,75,2.34,13.08,20.27,13
359,,6ix9ine,70,5.47,6.98,10.43,13
360,,NewJeans,84,2.52,5.16,25.30,13
361,,Joan Sebastian,75,4.16,9.25,11.15,13
362,,Dalex,73,5.58,4.79,12.16,13
363,,Lost Frequencies,76,4.88,2.74,25.59,13
364,,Don Toliver,81,3.76,3.22,23.69,13
365,,Alec Benjamin,74,4.52,4.56,17.84,13
366,,YNW Melly,73,4.33,9.52,10.96,13
367,,Kehlani,72,4.49,7.19,13.84,13
368,,Rex Orange County,73,4.74,5.60,13.41,13
369,,NAV,73,5.95,3.38,12.56,12
370,,Swedish House Mafia,75,3.26,3.79,24.60,12
371,,Luis R Conriquez,80,3.56,3.40,16.52,12
372,,Disturbed,72,4.79,6.24,10.60,12
373,,Tove Lo,72,5.43,3.50,15.95,12
374,,Avenged Sevenfold,73,4.51,6.51,9.16,12
375,,TOMORROW X TOGETHER,76,3.36,8.59,10.14,12
376,,Jhené Aiko,75,3.70,6.78,11.04,12
