id,track_name,artist,duration_ms,popularity,release_date,year
294,Closer to the Sun,Slightly Stoopid,145560,69,2005-04-19,2005
295,Best of You,Foo Fighters,255626,79,2005-06-14,2005
296,Happy?,Mudvayne,216426,73,2005-01-01,2005
297,Don't Cha,"The Pussycat Dolls, Busta Rhymes",272080,70,2005-01-01,2005
298,Laffy Taffy,D4L,224253,74,2005-11-08,2005
299,You And Me,Lifehouse,195493,77,2005-03-22,2005
300,DARE,Gorillaz,244999,76,2005-05-23,2005
301,Promiscuous,"Nelly Furtado, Timbaland",242293,86,2006-01-01,2006
302,Our Song,Taylor Swift,201106,77,2006-10-24,2006
303,Teenagers,My Chemical Romance,161920,82,2006-10-23,2006
304,Maneater,Nelly Furtado,258893,83,2006-01-01,2006
305,Face Down,The Red Jumpsuit Apparatus,192000,78,2006-01-01,2006
306,The Sweet Escape,"Gwen Stefani, Akon",246466,75,2006-01-01,2006
307,Smack That,"Akon, Eminem",212360,84,2006-01-01,2006
308,Cherry Waves,Deftones,317706,77,2006-10-25,2006
309,Put Your Records On,Corinne Bailey Rae,215360,81,2006-01-01,2006
310,Me & U,Cassie,192213,79,2006-08-07,2006
311,Chasing Cars,Snow Patrol,267960,83,2006-01-01,2006
312,Animal I Have Become,Three Days Grace,231400,76,2006-06-25,2006
313,Picture To Burn,Taylor Swift,173066,73,2006-10-24,2006
314,When You Were Young,The Killers,220426,79,2006-09-27,2006
315,The Diary of Jane - Single Version,Breaking Benjamin,200546,77,2006-01-01,2006
316,Crazy,Gnarls Barkley,182066,75,2006-05-02,2006
317,Welcome to the Black Parade,My Chemical Romance,311106,79,2006-10-23,2006
318,Glamorous,"Fergie, Ludacris",246573,73,2006-09-13,2006
319,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",242733,81,2006-09-12,2006
320,Dani California,Red Hot Chili Peppers,282160,79,2006-05-09,2006
321,So Sick,Ne-Yo,207186,81,2006-01-01,2006
322,SOS,Rihanna,238920,78,2006-04-10,2006
323,Fergalicious,"Fergie, will.i.am",292373,71,2006-09-13,2006
324,Say It Right,Nelly Furtado,223080,82,2006-01-01,2006
325,Snow (Hey Oh),Red Hot Chili Peppers,334666,81,2006-05-09,2006
326,Waiting On the World to Change,John Mayer,201173,76,2006-09-11,2006
327,Miss Murder,AFI,206586,74,2006-06-06,2006
328,Supermassive Black Hole,Muse,212439,80,2006-06-19,2006
329,All Around Me,Flyleaf,198506,70,2006-01-01,2006
330,Life is a Highway,Rascal Flatts,275640,77,2006-01-01,2006
331,Life is a Highway,Rascal Flatts,276320,76,2006-01-01,2006
332,My Love (feat. T.I.),"Justin Timberlake, T.I.",276160,76,2006-09-13,2006
333,Riot,Three Days Grace,207586,72,2006-06-25,2006
334,Would You Go With Me,Josh Turner,228186,72,2006-01-01,2006
335,MakeDamnSure,Taking Back Sunday,208280,71,2006-04-25,2006
336,Should've Said No,Taylor Swift,242200,69,2006-10-24,2006
337,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,203040,70,2006-10-24,2006
338,I'm So Sick,Flyleaf,175880,70,2006-01-01,2006
339,What Hurts The Most,Rascal Flatts,214106,71,2006-01-01,2006
340,Upside Down,Jack Johnson,209546,76,2006-02-24,2006
341,Prayer Of The Refugee,Rise Against,199386,70,2006-01-01,2006
342,When I See U,Fantasia,217346,73,2006-12-09,2006
