id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
528,,Ice Spice,81,1.58,1.98,38.77,9
529,,Jimi Hendrix,68,3.02,6.37,9.10,9
530,,JVKE,77,2.11,3.08,24.60,9
531,,Gwen Stefani,71,2.51,6.25,15.18,9
532,,PNL,71,3.66,7.63,4.36,9
533,,Tones And I,68,4.43,3.02,13.69,9
534,,Rage Against The Machine,70,2.97,5.62,9.75,9
535,,Lil Pump,63,4.29,8.02,6.71,9
536,,Passenger,69,3.98,3.24,14.16,9
537,,Ha*Ash,72,2.59,8.07,8.16,9
538,,Noriel,73,2.54,7.38,9.19,9
539,,Prince,69,2.80,7.03,11.22,9
540,,Ana Castela,82,2.32,2.86,15.64,9
541,,MC Ryan SP,80,2.01,3.17,16.37,9
542,,TOTO,72,3.23,2.73,20.12,9
543,,Evanescence,71,2.88,4.07,12.46,9
544,,ScHoolboy Q,70,3.55,4.61,9.03,9
545,,Brytiago,73,2.52,6.67,11.51,9
546,,Simon & Garfunkel,70,3.25,4.83,11.25,9
547,,24kGoldn,70,4.36,2.08,14.06,9
548,,MARINA,71,3.52,4.91,9.68,9
549,,Ludovico Einaudi,76,3.52,3.17,7.47,9
550,,PinkPantheress,76,2.16,2.39,25.15,9
551,,Flume,69,4.51,2.41,10.26,9
552,,José José,73,3.09,6.58,8.45,9
553,,Tears For Fears,73,2.50,3.06,20.21,9
554,,Baby Keem,77,3.25,1.69,17.30,9
555,,Armaan Malik,72,1.39,19.25,14.64,9
556,,Tim McGraw,71,3.53,4.47,9.61,9
557,,Los Tigres Del Norte,74,3.14,4.99,9.97,9
558,,Papa Roach,70,3.43,4.94,11.48,9
559,,Ruth B.,72,3.05,3.08,20.04,9
560,,Moneybagg Yo,75,2.86,4.00,11.15,9
561,,Fetty Wap,68,4.30,4.56,8.89,9
562,,Lil Mosey,67,3.84,5.22,7.57,9
563,,Gera MX,75,2.97,4.45,10.03,9
564,,The Vamps,65,3.38,5.82,8.25,8
565,,Keane,71,2.70,3.12,16.02,8
566,,Sigala,70,3.89,1.58,11.35,8
567,,X Ambassadors,70,2.90,2.94,13.41,8
568,,Lata Mangeshkar,74,1.45,11.28,12.46,8
569,,Electric Light Orchestra,69,2.64,3.89,12.37,8
570,,Eric Church,71,3.24,3.86,9.33,8
571,,Diljit Dosanjh,70,1.28,17.70,11.15,8
572,,Tyler Childers,78,2.74,2.02,12.26,8
573,,3 Doors Down,69,2.61,4.22,11.29,8
574,,Iggy Azalea,67,2.81,6.48,7.72,8
575,,Shania Twain,72,2.57,3.01,16.49,8
576,,MC Kevin o Chris,78,1.99,3.11,18.12,8
577,,King Von,75,2.53,3.23,8.73,8
578,,The White Stripes,70,2.93,2.91,15.82,8
579,,Julión Álvarez y su Norteño Banda,75,2.56,3.80,9.82,8
580,,The Black Keys,69,3.43,3.92,9.46,8
581,,The Smashing Pumpkins,71,2.73,4.70,10.87,8
582,,MGMT,72,2.94,2.86,12.68,8
583,,Daryl Hall & John Oates,71,3.05,2.22,17.53,8
584,,League of Legends,75,3.00,1.65,17.44,8
585,,Chencho Corleone,78,3.21,0.53,28.27,8
586,,Birdy,68,3.30,3.79,9.94,8
587,,Dimitri Vegas & Like Mike,69,3.07,3.46,10.66,8
588,,Kenny Chesney,70,3.28,4.40,8.38,8
589,,GIMS,70,2.81,4.11,9.26,8
590,,Los Tucanes De Tijuana,75,2.73,2.60,14.44,8
591,,Jax Jones,72,3.80,1.14,15.57,8
592,,alt-J,68,3.48,3.21,8.70,8
593,,Nas,73,2.86,3.42,10.85,8
594,,Lukas Graham,69,3.96,2.14,13.49,8
595,,Aya Nakamura,70,2.95,4.25,8.56,8
596,,C. Tangana,71,3.49,2.53,9.66,8
597,,MEDUZA,75,3.93,0.67,21.43,8
598,,Damso,73,3.09,4.82,5.17,8
599,,Dilsinho,72,2.49,4.21,9.36,8
600,,Cheat Codes,66,5.04,2.20,8.16,8
601,,keshi,74,2.41,3.04,11.59,8
602,,Lil Skies,67,4.25,5.02,4.99,8
603,,Christina Perri,69,3.10,3.71,12.14,8
604,,Ryan Castro,78,1.93,1.84,23.64,8
605,,Jeremy Zucker,69,3.82,2.20,10.53,8
606,,Van Morrison,71,3.07,2.97,12.69,8
607,,Hillsong Worship,71,3.63,5.19,5.34,8
608,,Ciara,70,2.13,6.32,11.32,8
609,,Trueno,72,2.34,5.09,10.01,8
610,,Chief Keef,72,2.73,4.09,10.06,8
611,,Milky Chance,71,3.28,1.84,14.03,8
612,,Tina Turner,69,3.06,3.70,11.50,8
613,,Jorja Smith,72,2.72,3.24,14.16,8
614,,Norah Jones,70,3.26,3.03,8.72,8
615,,benny blanco,69,4.33,1.07,16.05,8
616,,Mc Don Juan,75,2.03,5.29,12.61,8
617,,Timbaland,76,2.14,2.61,20.81,8
618,,Los Temerarios,76,2.78,3.82,5.95,8
619,,Canserbero,74,2.20,7.86,5.52,8
620,,George Strait,71,2.90,4.04,8.48,8
621,,Carlos Rivera,72,2.86,4.37,8.32,8
622,,Nick Jonas,64,2.81,9.39,7.64,8
623,,Fergie,68,2.22,5.62,12.31,8
624,,Juan Luis Guerra 4.40,74,2.33,4.43,10.60,8
625,,Red Velvet,68,2.90,8.75,5.81,8
626,,Cazzu,72,2.21,6.41,10.40,8
627,,Becky Hill,74,4.07,0.68,18.53,8
628,,LIT killah,75,1.89,5.03,16.23,8
629,,Shaggy,72,2.68,2.03,17.27,8
630,,Cosculluela,71,2.35,5.68,11.18,8
631,,Keith Urban,68,2.85,5.23,7.80,8
632,,Robbie Williams,69,3.05,2.75,11.63,8
633,,Charlie Brown Jr.,72,2.60,6.62,6.52,8
634,,Danna Paola,70,2.85,4.75,10.05,8
635,,Pineapple StormTv,71,2.37,8.55,7.57,8
636,,Santana,70,2.40,3.15,14.89,8
637,,Rod Stewart,70,2.89,4.35,10.85,8
638,,Zoé,71,2.92,5.41,7.28,8
639,,Natalia Lafourcade,72,2.33,4.18,10.10,8
640,,B.o.B,72,3.04,2.14,18.91,8
641,,Ozzy Osbourne,70,2.76,4.99,9.64,8
642,,La Adictiva Banda San José de Mesillas,71,2.50,5.49,10.73,8
643,,Os Barões Da Pisadinha,68,3.19,6.91,4.79,8
644,,DNCE,67,2.88,4.60,11.44,8
645,,A$AP Ferg,69,3.30,3.67,11.58,8
646,,Mon Laferte,72,2.47,6.17,9.45,8
647,,Sam Hunt,70,3.63,2.32,8.97,8
648,,TV Girl,77,2.01,3.29,15.52,8
649,,Sade,72,2.30,3.43,11.43,7
650,,NIKI,73,2.04,2.82,10.05,7
651,,Capital Bra,67,4.52,4.41,3.58,7
652,,Thalia,67,2.12,4.88,9.37,7
653,,Dermot Kennedy,71,3.40,1.42,12.55,7
654,,Luciano,73,3.29,1.96,6.93,7
655,,Rascal Flatts,67,2.53,3.60,9.49,7
656,,Alan Jackson,71,2.79,2.49,8.78,7
657,,Shankar Mahadevan,73,0.93,8.06,18.68,7
658,,David Bisbal,68,2.45,4.53,7.67,7
659,,Agust D,73,1.60,12.79,4.33,7
660,,Rahat Fateh Ali Khan,71,1.08,16.87,12.22,7
661,,Kumar Sanu,75,1.17,12.10,10.45,7
662,,Hungria Hip Hop,72,2.04,9.22,5.82,7
663,,La Oreja de Van Gogh,71,2.50,3.49,10.92,7
664,,Kacey Musgraves,74,2.31,1.24,17.50,7
665,,Noah Kahan,80,2.36,1.25,15.18,7
666,,Why Don't We,67,3.36,3.65,8.24,7
667,,Sin Bandera,69,2.22,5.78,8.04,7
668,,Of Monsters and Men,66,2.69,3.53,8.55,7
669,,Melendi,71,2.70,3.62,7.01,7
670,,Sunidhi Chauhan,72,0.78,15.81,15.52,7
671,,S. P. Balasubrahmanyam,76,1.18,9.38,11.96,7
672,,ITZY,71,2.15,5.86,6.48,7
673,,Kevin Kaarl,72,2.09,5.94,7.55,7
674,,iann dior,70,2.69,1.77,12.64,7
675,,Stromae,69,2.69,3.11,10.91,7
676,,Dove Cameron,70,1.76,4.38,12.74,7
677,,Dominic Fike,76,2.52,1.29,16.95,7
678,,The Who,67,2.26,5.18,9.01,7
679,,Ghost,74,2.39,2.68,9.27,7
680,,Queens of the Stone Age,70,2.46,3.35,7.51,7
681,,LISA,77,1.63,5.17,10.80,7
682,,Shinedown,69,2.95,3.96,5.96,7
683,,a-ha,70,2.38,2.09,17.37,7
684,,WILLOW,69,2.69,2.32,13.14,7
685,,Ferrugem,71,2.01,5.47,6.74,7
686,,DMX,69,2.33,4.62,9.36,7
687,,Tulsi Kumar,71,1.25,7.84,13.79,7
688,,Kim Petras,74,2.43,0.98,21.55,7
689,,Sean Kingston,68,2.22,3.17,13.46,7
690,,Kevin Roldan,68,2.17,5.81,6.83,7
691,,WizKid,76,1.94,4.27,10.14,7
692,,All Time Low,68,2.91,2.99,7.15,7
693,,Breaking Benjamin,69,3.14,4.47,6.24,7
694,,Karan Aujla,76,1.40,6.11,9.20,7
695,,Mike Posner,68,3.42,1.38,14.63,7
696,,Los Bukis,73,2.46,3.70,6.77,7
697,,Julieta Venegas,72,2.47,2.11,15.21,7
698,,DJ Luian,75,2.31,2.11,14.11,7
699,,Selena Gomez & The Scene,67,1.72,9.28,12.46,7
700,,The Fray,67,2.86,4.01,9.98,7
701,,will.i.am,72,1.87,4.14,11.75,7
702,,Ke Personajes,80,1.75,2.61,11.67,7
703,,Camila,70,2.06,4.19,10.64,7
704,,ILLENIUM,71,3.75,1.44,9.48,7
705,,Liam Payne,61,3.19,10.32,5.31,7
706,,AURORA,71,2.23,3.18,11.75,7
707,,Joey Bada$$,71,2.71,3.17,8.90,7
708,,Sum 41,70,2.72,3.66,9.73,7
709,,Lionel Richie,69,2.17,3.24,11.38,7
710,,Cris Mj,75,2.21,1.45,16.18,7
711,,Sublime,69,2.83,2.64,8.70,7
712,,The Pussycat Dolls,67,2.29,5.50,11.55,7
713,,Bonez MC,74,3.40,2.15,4.89,7
714,,M83,69,2.54,2.30,12.01,7
715,,Cavetown,69,2.65,3.77,6.65,7
716,,Morad,77,2.11,2.03,11.45,7
717,,Mötley Crüe,70,2.49,4.83,8.67,7
718,,Kodaline,67,2.77,2.98,8.82,7
719,,Mari Fernandez,75,2.04,2.28,11.49,7
720,,L7NNON,72,1.97,3.49,9.96,7
721,,Ms. Lauryn Hill,71,2.54,2.59,13.34,7
722,,Stormzy,71,2.74,2.85,9.71,7
723,,Filipe Ret,74,1.79,4.99,7.23,7
724,,Hillsong UNITED,69,3.23,3.84,5.28,7
725,,RAF Camora,75,3.85,1.70,5.72,7
726,,Mother Mother,70,2.44,3.50,7.59,7
727,,Aleman,73,2.28,5.06,7.61,7
728,,IU,70,2.28,8.18,5.97,7
729,,Apache 207,74,2.86,2.52,6.27,7
730,,Dolly Parton,70,2.67,2.24,13.29,7
731,,d4vd,77,1.79,1.69,25.95,7
732,,Yo Yo Honey Singh,71,1.02,13.04,11.13,7
733,,The Goo Goo Dolls,70,2.44,2.62,15.19,7
734,,bbno$,72,3.27,1.27,10.20,7
735,,Mc Livinho,71,1.59,7.57,10.16,7
736,,Ezhel,69,2.39,5.99,4.91,7
737,,Bruno & Marrone,71,2.65,5.43,6.29,7
738,,Marilyn Manson,68,2.59,4.09,6.79,7
739,,Banda El Recodo,70,2.80,3.62,7.19,7
740,,Ella Henderson,72,2.39,1.60,15.72,7
741,,Rise Against,69,3.42,2.67,7.40,7
742,,Aretha Franklin,69,2.73,3.22,11.35,7
743,,Alice In Chains,70,2.42,4.72,7.52,7
744,,Normani,67,3.02,2.50,12.10,7
745,,Lord Huron,72,2.87,1.32,16.14,7
746,,Yuridia,71,2.28,4.04,9.48,7
747,,The Clash,68,2.50,2.59,11.51,7
748,,Sezen Aksu,71,1.80,8.09,5.46,7
749,,Mohit Chauhan,73,1.04,8.23,16.80,7
750,,NCT DREAM,73,2.00,7.18,6.03,7
751,,Los Enanitos Verdes,70,2.17,3.83,11.33,7
752,,John Lennon,67,2.37,5.64,10.50,7
753,,MC Cabelinho,75,1.44,5.44,9.82,7
754,,Ella Mai,68,2.53,5.19,7.55,7
755,,Hombres G,70,1.96,4.02,10.64,7
756,,j-hope,72,1.47,16.01,4.31,7
757,,BoyWithUke,72,2.04,3.65,7.43,6
758,,Tarcísio do Acordeon,70,1.66,4.43,7.09,6
759,,Joyner Lucas,69,2.66,2.08,6.86,6
760,,JID,75,1.63,1.33,20.75,6
761,,Rudimental,68,3.49,1.38,10.44,6
762,,Two Feet,69,2.39,1.87,8.81,6
763,,Denzel Curry,69,2.31,2.39,6.77,6
764,,CRO,72,2.43,2.38,6.00,6
765,,Audioslave,67,1.92,4.28,7.74,6
766,,Dierks Bentley,67,2.29,3.07,6.53,6
767,,Sachin-Jigar,75,1.50,1.70,21.89,6
768,,Ghostemane,70,2.45,3.24,5.61,6
769,,Lee Brice,69,2.37,2.15,8.02,6
770,,Mary J. Blige,69,2.03,3.65,10.52,6
771,,Stephen Sanchez,74,1.72,0.86,25.81,6
772,,Glee Cast,67,4.30,1.52,4.88,6
773,,Emilia,77,1.37,1.68,17.41,6
774,,Cyndi Lauper,69,2.10,2.43,15.26,6
775,,Wham!,67,2.47,2.45,11.55,6
776,,John Williams,69,3.95,1.28,5.22,6
777,,Jay Chou,71,2.63,4.87,2.56,6
778,,João Gomes,69,1.75,6.37,6.23,6
779,,Beret,68,2.34,2.90,6.13,6
780,,The xx,65,2.78,3.92,6.28,6
781,,Ben&Ben,68,1.92,8.35,4.53,6
782,,Rich The Kid,68,2.75,3.13,5.76,6
783,,D-Block Europe,76,2.16,1.17,16.73,6
784,,Harris Jayaraj,71,1.14,6.44,9.73,6
785,,Miranda Lambert,68,2.37,3.59,7.90,6
786,,NEFFEX,70,2.73,2.38,5.22,6
787,,Ricardo Montaner,67,1.75,6.13,7.25,6
788,,ZZ Top,68,2.01,4.11,9.20,6
789,,Tony Dize,70,1.22,3.64,14.34,6
790,,Beastie Boys,68,2.06,2.63,8.79,6
791,,Tee Grizzley,67,2.29,3.53,5.44,6
792,,Joel Corry,73,3.26,0.36,17.40,6
793,,Sam Feldt,70,3.70,0.77,13.10,6
794,,Bill Withers,71,2.15,1.56,16.37,6
795,,Los Dos Carnales,70,2.00,2.61,7.74,6
796,,Pantera,68,1.79,4.61,6.32,6
797,,Megadeth,68,1.91,4.93,5.23,6
798,,Sofía Reyes,68,2.08,3.09,10.54,6
799,,Louis Tomlinson,67,2.53,7.01,3.40,6
800,,beabadoobee,74,1.25,2.47,15.39,6
801,,Hugo & Guilherme,75,2.21,1.30,8.39,6
802,,Owl City,67,2.37,2.41,10.01,6
803,,SAINt JHN,67,3.29,1.00,10.23,6
804,,Otis Redding,69,2.07,2.15,9.87,6
805,,Thirty Seconds To Mars,68,2.25,3.42,8.91,6
806,,Juan Magán,67,2.63,1.78,8.71,6
807,,WALK THE MOON,67,2.60,2.12,11.35,6
808,,Wale,68,2.27,4.18,6.05,6
809,,Incubus,67,2.24,3.13,7.34,6
810,,Louis Armstrong,68,2.33,2.74,9.31,6
811,,Greeicy,67,1.87,7.16,6.50,6
812,,MC Kevinho,62,2.09,8.15,4.71,6
813,,Westlife,67,2.44,3.87,5.29,6
814,,Sleepy Hallow,75,2.54,1.51,10.05,6
815,,Pepe Aguilar,68,2.04,4.29,7.79,6
816,,Noah Cyrus,69,3.29,1.21,12.26,6
817,,Ali Gatie,66,2.66,2.09,8.62,6
818,,Soolking,71,1.57,4.77,7.54,6
819,,Carla Morrison,71,1.86,3.92,9.18,6
820,,Cali Y El Dandee,67,2.44,3.99,8.01,6
821,,Jelly Roll,75,1.69,2.54,7.29,6
822,,Falling In Reverse,71,2.19,2.78,6.88,6
823,,Aminé,68,3.07,1.89,9.72,6
824,,Dadju,69,1.77,5.41,5.22,6
825,,Boney M.,69,1.96,1.79,12.75,6
826,,Leon Bridges,70,2.63,1.57,11.12,6
827,,Ella Fitzgerald,65,3.61,2.35,5.02,6
828,,Boyce Avenue,67,3.40,3.19,4.02,6
829,,Gloria Trevi,70,1.91,4.77,6.76,6
830,,UZI,73,1.87,3.67,5.40,6
831,,Supertramp,69,1.89,3.22,10.21,6
832,,Wallows,68,2.12,2.54,8.57,6
833,,Israel & Rodolffo,74,2.15,2.14,10.88,6
834,,Jon Z,69,1.40,5.94,7.58,6
835,,Alex Rose,68,2.26,3.75,7.13,6
836,,Def Leppard,68,1.68,4.59,7.59,6
837,,Spice Girls,67,1.88,3.17,11.36,6
838,,Mahalini,72,1.04,8.54,9.17,6
839,,Wolfgang Amadeus Mozart,72,1.52,5.20,6.26,6
840,,ANAVITÓRIA,68,2.24,6.86,5.06,6
841,,Lin-Manuel Miranda,70,4.08,0.58,11.37,6
842,,Lady A,65,2.19,3.84,7.67,6
843,,Pixies,69,2.00,2.65,9.60,6
844,,Mabel,65,3.23,1.88,8.06,6
845,,fun.,66,2.19,3.52,10.59,6
846,,Kylie Minogue,71,2.26,1.79,14.49,6
847,,Bronco,71,1.86,3.31,6.53,6
848,,Volbeat,69,3.08,2.43,5.55,6
849,,Jon Pardi,72,2.41,1.79,9.12,6
850,,Intocable,70,2.39,3.61,7.03,6
851,,Hardwell,66,2.38,3.73,6.75,6
852,,G. V. Prakash,71,0.99,7.98,9.36,6
853,,Selena,69,2.16,3.48,8.10,6
854,,Sufjan Stevens,69,2.46,1.82,8.97,6
855,,Afrojack,70,2.30,4.04,6.89,6
856,,Colbie Caillat,67,2.44,2.50,9.91,6
857,,DENNIS,72,1.93,2.16,14.56,6
858,,Empire of the Sun,70,2.15,1.33,14.19,6
859,,Calle 13,67,2.25,2.91,8.18,6
860,,Official HIGE DANdism,70,2.17,5.96,5.15,6
861,,Niska,69,2.27,5.18,4.52,6
862,,Snow Patrol,66,2.24,2.89,9.30,6
863,,Casper Magico,67,2.44,2.37,7.90,6
864,,Diego & Victor Hugo,71,2.11,2.94,9.03,6
865,,Key Glock,74,2.14,1.71,11.73,6
866,,Pedro Capó,68,2.62,1.67,9.51,6
867,,Lenny Kravitz,68,1.96,3.02,10.66,6
868,,Roxette,69,2.29,2.07,10.67,6
869,,Pentatonix,63,3.76,3.63,3.71,6
870,,Blueface,66,1.91,6.37,5.11,6
871,,Annie Lennox,68,2.46,1.42,15.03,6
872,,MC Hariel,73,1.55,5.03,8.07,6
873,,Foreigner,68,1.86,2.93,12.14,6
874,,Darell,74,1.56,3.86,10.48,6
875,,Years & Years,66,2.94,1.98,7.89,6
876,,Elevation Worship,72,2.67,2.63,5.80,6
877,,Beach House,70,2.18,1.93,11.86,6
878,,Taio Cruz,68,2.36,2.27,12.78,6
879,,Young Miko,82,1.27,1.13,28.94,6
880,,Tom Petty,68,1.88,2.33,11.20,6
881,,Dread Mar I,69,2.07,2.62,8.47,6
882,,TLC,67,1.82,3.72,10.69,6
883,,Blessd,74,1.67,2.57,14.96,6
884,,Sting,68,2.24,3.07,9.94,6
885,,Two Door Cinema Club,67,2.42,2.34,7.71,6
886,,Rag'n'Bone Man,66,2.75,1.73,9.53,6
887,,Blur,70,2.00,3.06,11.71,6
888,,Jowell & Randy,70,1.37,4.36,12.75,6
889,,MF DOOM,74,2.52,2.24,7.52,6
890,,Olly Murs,63,2.15,3.33,6.42,5
891,,MØ,69,2.11,1.46,7.51,5
892,,Blondie,68,1.77,1.33,12.93,5
893,,deadmau5,66,2.08,2.83,6.17,5
894,,Diddy,72,1.69,1.55,12.02,5
895,,Gryffin,67,2.87,0.94,7.76,5
896,,Tinashe,67,1.67,2.67,7.66,5
897,,Seether,67,2.14,3.29,6.55,5
898,,Manuel Medrano,68,1.53,2.69,6.89,5
899,,The Doobie Brothers,67,1.57,2.36,8.62,5
900,,Kontra K,70,2.58,2.21,4.42,5
901,,ONE OK ROCK,69,1.86,5.13,4.07,5
902,,Eros Ramazzotti,68,1.78,2.10,6.89,5
903,,Xamã,72,1.55,2.57,9.23,5
904,,Chicago,67,1.72,3.81,8.85,5
905,,Mc Davi,69,1.33,3.79,6.40,5
906,,Brooks & Dunn,68,1.79,2.75,7.87,5
907,,Alanis Morissette,66,1.71,2.62,7.15,5
908,,Sachet Tandon,73,1.09,1.66,16.69,5
909,,Billy Idol,68,1.50,1.76,11.24,5
910,,A Day To Remember,68,2.80,2.27,5.16,5
911,,Wu-Tang Clan,66,1.84,2.85,6.28,5
912,,Capo Plaza,71,1.89,3.64,5.49,5
913,,"Tito ""El Bambino""",67,1.35,3.79,9.00,5
914,,UB40,67,1.83,2.26,7.77,5
915,,Laura Pausini,68,1.87,2.39,7.62,5
916,,NCT 127,66,2.07,7.13,3.13,5
917,,aespa,73,1.39,3.68,8.25,5
918,,PnB Rock,66,2.42,4.01,4.51,5
919,,Genesis,67,1.59,3.12,7.43,5
920,,Conor Maynard,64,2.39,2.15,5.90,5
921,,Nipsey Hussle,66,1.93,3.30,4.02,5
922,,Vishal Dadlani,73,0.52,9.17,17.73,5
923,,LE SSERAFIM,75,1.27,3.03,9.27,5
924,,Kordhell,75,1.53,0.91,13.06,5
925,,Simple Plan,66,2.05,3.49,7.29,5
926,,Manu Chao,70,1.77,1.57,10.81,5
927,,Mrs. GREEN APPLE,74,1.54,2.95,5.42,5
928,,Cordae,69,1.51,1.98,9.32,5
929,,Nat King Cole,66,2.56,2.10,6.47,5
930,,Roberto Carlos,67,1.54,5.20,5.27,5
931,,Veigh,79,1.09,1.93,10.29,5
932,,FINNEAS,67,1.70,1.87,8.82,5
933,,Toby Keith,68,1.90,2.11,6.49,5
934,,Yo Gotti,66,2.00,4.38,5.48,5
935,,La Santa Grifa,72,1.45,4.47,4.88,5
936,,Tems,73,1.46,1.19,13.57,5
937,,Sleeping At Last,67,2.56,1.39,7.45,5
938,,Pamungkas,68,1.12,5.11,7.56,5
939,,Dean Martin,66,2.48,1.54,5.76,5
940,,Bad Gyal,74,1.29,1.11,16.08,5
941,,Sasha Alex Sloan,68,2.05,1.35,10.56,5
942,,Mario,65,1.47,3.27,7.77,5
943,,Miky Woodz,67,1.46,3.96,5.37,5
944,,Miguel Bosé,68,1.43,2.57,8.60,5
945,,Stone Temple Pilots,66,1.55,3.33,6.44,5
946,,Timmy Trumpet,70,2.46,1.07,10.79,5
947,,Juicy J,72,1.72,3.14,4.72,5
948,,Paul Simon,67,2.08,2.18,8.25,5
949,,YUNGBLUD,68,1.94,2.14,6.84,5
950,,Tom Petty and the Heartbreakers,67,1.78,2.59,8.30,5
951,,Phoebe Bridgers,77,1.30,1.95,9.87,5
952,,Fujii Kaze,71,1.20,2.60,9.36,5
953,,BONES,73,2.40,1.37,7.14,5
954,,KayBlack,77,1.31,1.97,9.86,5
955,,The Temptations,65,1.73,2.81,9.23,5
956,,Caifanes,68,1.68,3.49,5.88,5
957,,Bethel Music,68,2.54,1.62,4.24,5
958,,R. Kelly,65,2.17,2.54,4.63,5
959,,CKay,68,1.91,1.35,11.60,5
960,,RM,70,1.19,14.93,3.48,5
961,,Mc Poze do Rodo,70,1.21,4.74,6.15,5
962,,Rocío Dúrcal,68,1.65,4.04,7.61,5
963,,Young Dolph,70,2.35,2.65,5.02,5
964,,Virlan Garcia,67,1.59,4.33,5.86,5
965,,Guè Pequeno,72,1.81,2.31,5.22,5
966,,Old Dominion,70,2.29,1.41,8.16,5
967,,DaVido,72,1.19,3.51,8.25,5
968,,FMK,76,1.22,1.35,16.78,5
969,,Duran Duran,67,1.66,2.73,8.93,5
970,,El Komander,68,1.46,3.59,6.96,5
971,,Portugal. The Man,66,2.28,1.41,9.52,5
972,,Andy Grammer,67,2.89,1.18,8.93,5
973,,Sabaton,70,2.96,1.94,3.11,5
974,,Gotye,66,1.77,2.38,11.17,5
975,,Gente De Zona,68,2.00,1.56,7.04,5
976,,Lyanno,71,1.61,1.18,11.30,5
977,,Talking Heads,67,1.86,2.23,8.52,5
978,,Río Roma,67,1.84,2.82,7.58,5
979,,Air Supply,67,1.60,4.05,5.95,5
980,,Pierce The Veil,71,2.11,2.62,5.58,5
981,,Frédéric Chopin,71,1.41,3.14,6.14,5
982,,JP Cooper,65,3.24,0.87,8.02,5
983,,Freddie Dredd,72,1.83,1.62,7.83,5
984,,Rusherking,75,1.19,1.37,14.84,5
985,,RADWIMPS,70,1.64,3.60,5.83,5
986,,Yung Gravy,69,2.49,1.62,6.65,5
987,,Deorro,65,2.37,1.25,8.26,5
988,,Nacho,62,1.62,5.41,5.75,5
989,,Jordan Davis,73,1.86,1.02,10.09,5
990,,Kany García,72,1.34,2.33,9.97,5
991,,ODESZA,69,2.73,1.54,6.41,5
992,,Vintage Culture,70,2.23,1.79,7.69,5
993,,Ñejo,70,1.07,4.10,11.18,5
994,,Enya,70,2.72,2.03,3.87,5
995,,Deep Purple,64,1.60,5.20,6.66,5
996,,King,70,0.84,5.79,13.29,5
997,,IVE,73,1.31,2.77,7.70,5
998,,Cher,66,1.87,3.10,9.53,5
999,,Eurythmics,66,1.73,1.79,12.22,5
"1,000",,LMFAO,65,1.64,4.28,8.67,5
